video_id,content,sentiment,confidence,url,title,published_date
t_NO2_qOoAE,탑룰루를 즐겨하는 남자이며 공주는 컨셉입니다 리그오브레전드 LOL 롤 룰루공주 탑혜지 탑룰루 lulu 치지직 롤 전적 리그오브레전드 LOL 롤 룰루공주 탑혜지 탑룰루 lulu,1,0.1726057380437851,https://www.youtube.com/watch?v=t_NO2_qOoAE,챌린저 탑룰루 솔랭,2025-05-19
qdjjDoGGVFY,봄에어울리는향기 아로퓸향기부스터,2,0.3649432063102722,https://www.youtube.com/watch?v=qdjjDoGGVFY,무슨 향수 쓰냐는 소리를 들었습니다 😏마치.. 봄향기?,2025-04-23
D0DmhY3SGlQ,가입,2,0.3704141080379486,https://www.youtube.com/watch?v=D0DmhY3SGlQ,가입 https://youtube.com/c/%EC%9E%BC%EB%AF%BC%EC%95%88%EC%A0%84%EB%B6%80JamminSafteyDepartment,2022-10-04
gi_qBmqUNjo,자세한 정보는 여기에서,2,0.36910006403923035,https://www.youtube.com/watch?v=gi_qBmqUNjo,기초수급 차상위 자활근로지원 제도 신청방법 신청자격 지원금액  #자활근로지원,2025-03-15
U3z7HRwQ7rM,shorts 관련링크,0,0.3791051506996155,https://www.youtube.com/watch?v=U3z7HRwQ7rM,날이 갈수록 L A 에 도둑들이 많아지는 이유 #shorts,2024-08-27
GerLqcqaDPM,카피캣은 금전적인 요구나 후원은 받지 않습니다. 구독 좋아요를 눌러주시는 후원은 환영합니다 회차분석은 아래의 링크를 클릭하시면 확인하실 수 있습니다. 로또 로또1173회 로또번호 로또당첨번호분석,2,0.3599179536104202,https://www.youtube.com/watch?v=GerLqcqaDPM,2025년 5월 24일 추첨 1173회 로또 당첨 번호 분석,2025-05-18
uqf4hSO91gg,캐치티니핑 2기 반짝반짝 캐치!티니핑 공쥬핑 1 색칠공부도안 그리기 shorts 캐치티니핑 애들용 색칠공부 다운로드 링크_공쥬핑 1 공쥬핑 캐치티니핑 색칠공부다운로드 아이패드드로잉 프로크리에이트 티니핑 색칠공부도안,2,0.3706267178058624,https://www.youtube.com/watch?v=uqf4hSO91gg,캐치티니핑 2기 반짝반짝 캐치!티니핑 공쥬핑[1] 색칠공부도안 그리기 #shorts,2022-11-25
KDFHiKKGCs8,치지직 롤 전적 리그오브레전드 LOL 롤 룰루공주 탑혜지 탑룰루 lulu,1,0.173491433262825,https://www.youtube.com/watch?v=KDFHiKKGCs8,그마 탑룰루장인 11,2024-07-02
MvI-VptuSJM,캐치티니핑 2기 반짝반짝 캐치!티니핑 공쥬핑 2 색칠공부도안 그리기 shorts 캐치티니핑 애들용 색칠공부 다운로드 링크_공쥬핑 2 공쥬핑 캐치티니핑 색칠공부다운로드 아이패드드로잉 프로크리에이트 티니핑 색칠공부도안,2,0.37109068036079407,https://www.youtube.com/watch?v=MvI-VptuSJM,캐치티니핑 2기 반짝반짝 캐치!티니핑 공쥬핑[2] 색칠공부도안 그리기 #shorts,2022-11-30
0fmhwK_2_48,탑룰루를 즐겨하는 남자이며 공주는 컨셉입니다 리그오브레전드 LOL 롤 룰루공주 탑혜지 탑룰루 lulu 챌린저 치지직 롤 전적 마우스 로지텍 G PRO X SUPERLIGHT 키보드 프리플로우 archon M1 PRO TKL e mail 리그오브레전드 LOL 롤 룰루공주 탑혜지 탑룰루 lulu,1,0.1749531775712967,https://www.youtube.com/watch?v=0fmhwK_2_48,챌린저 탑룰루 하이라이트 90,2025-04-13
F9jV9j3E5w0,탑룰루를 즐겨하는 남자이며 공주는 컨셉입니다 리그오브레전드 LOL 롤 룰루공주 탑혜지 탑룰루 lulu 챌린저 치지직 롤 전적 마우스 로지텍 G PRO X SUPERLIGHT 키보드 프리플로우 archon M1 PRO TKL e mail 리그오브레전드 LOL 롤 룰루공주 탑혜지 탑룰루 lulu,1,0.1749531775712967,https://www.youtube.com/watch?v=F9jV9j3E5w0,챌린저 탑룰루 하이라이트 93,2025-04-15
QAtm6ak3gH4,캐치티니핑 2기 반짝반짝 캐치!티니핑 아야핑 1 색칠공부도안 그리기 shorts 캐치티니핑 애들용 색칠공부 다운로드 링크_아야핑 1 아야핑 캐치티니핑 색칠공부다운로드 아이패드드로잉 프로크리에이트 티니핑 색칠공부도안,2,0.36995628476142883,https://www.youtube.com/watch?v=QAtm6ak3gH4,캐치티니핑 2기 반짝반짝 캐치!티니핑 아야핑[1] 색칠공부도안 그리기 #shorts,2022-11-27
EAjjDEyunXw,"이 포스팅은 쿠팡 파트너스 활동의 일으로, 이에 따른 일정액의 수수료를 제공받습니다. 헬스매니아 단백질 헬스보충제 WPH 1 3kg 90회분 초코맛, 1개 블로그에 방문하시면 wph에 관한 더 자세한 내용을 확인하실 수 있습니다.",2,0.3623497784137726,https://www.youtube.com/watch?v=EAjjDEyunXw,WPH  운동 효과 극대화 단백질!,2025-05-01
PuN2z230z-s,"이 포스팅은 쿠팡 파트너스 활동의 일으로, 이에 따른 일정액의 수수료를 제공받습니다. 뉴트리코스트 쥐오줌풀 뿌리 Valerian Root 500mg 120캡슐, 120정, 2개 블로그에 방문하시면 발레리안 루트에 관한 더 자세한 내용을 확인하실 수 있습니다.",2,0.37010952830314636,https://www.youtube.com/watch?v=PuN2z230z-s,발레리안 루트  스트레스 완화와 숙면!,2025-02-15
_7hpahBCZnk,탑룰루를 즐겨하는 남자이며 공주는 컨셉입니다 리그오브레전드 LOL 롤 룰루공주 탑혜지 탑룰루 lulu 치지직 롤 전적 bgm a 리스항구OST 리그오브레전드 LOL 롤 룰루공주 탑혜지 탑룰루 lulu,1,0.17337355017662048,https://www.youtube.com/watch?v=_7hpahBCZnk,룰루 하이라이트 35,2025-02-15
