title,content,platform,published_date,url,sentiment,confidence
절대 가면 안되는 여행 금지국가 TOP 9,절대 가면 안되는 여행 금지국가들! 어디일까? 자료출처 s 5.1 랭킹 상식 세계 순위 지식 통계 여행 위험국가,youtube,20240509,https://www.youtube.com/watch?v=scWk0dc_o1c,0,0.3908971846103668
옛날 화재 경보기,"조양방직 화재경보기 레트로 이번 여행 일기 글 여행 230604 강화도 여행 1일차 농가의 식탁, 강화 산성, 보문사 보문산 , 민머루 해수욕장, 운휴원",youtube,20230619,https://www.youtube.com/watch?v=m51qffR2R7A,0,0.391893208026886
옛날 전화기,"레트로 옛날전화기 조양방직 이번 여행 일기 글 여행 230604 강화도 여행 1일차 농가의 식탁, 강화 산성, 보문사 보문산 , 민머루 해수욕장, 운휴원",youtube,20230620,https://www.youtube.com/watch?v=50GIqxJwAfw,0,0.39285022020339966
겔겔겔,"돌탑 남이섬 풍경 이날 남이섬 데이트 일기 글 데이트, 여행 231029 남이섬 여행",youtube,20231103,https://www.youtube.com/watch?v=G83Sp8DNG9c,0,0.388213574886322
난 물이 좋아,"분수 남이섬 가을 이날 남이섬 당일치기 일기 글 데이트, 여행 231029 남이섬 여행",youtube,20231106,https://www.youtube.com/watch?v=sb8lhs7OPuE,0,0.3875143826007843
재외국민 긴급지원비 #지원금#해외여행꿀팁,오늘은 해외여행시 알아두면 유용한 긴급 상황 시 꿀팁을 알려드립니다. 상세한 내용은 블로그에서 참고해주세요,youtube,20250521,https://www.youtube.com/watch?v=_VYKoq1CF-8,0,0.3916934132575989
"이수도 1박3식 여행 완벽 가이드: 배편부터 숙소, 체험까지 총정리","제목 이수도 1박3식 여행 완벽 가이드 배편부터 숙소, 체험까지 총정리 출처 스크립트 오늘 전해드릴 이야기는 이수도의 여행입니다. 이수도는 경남 거제의 북쪽 끝에 있는 아담한 섬이에요. 도보로 30분이면 섬을 한 바퀴 돌 수 있지만, 특별한 힐링 여행지로 주목받고 있죠. 이수도에 가려면 거제 장목면 시방선착장에서 배를 타야 해요. 왕복 요금은 대인 기준 8,000원인데, 매주 수요일은 정오까지만 운항하니 참고하세요! 기상 악화 시 운항이 중단될 수도 있어요. 이수도에서는 1박3식 민박이 가능하고, 전화 예약이 필수예요. 다양한 민박이 준비되어 있으니 가격과 특징을 잘 체크해보세요. 식사는 해산물을 중심으로 각 민박마다 특색 있는 메뉴가 제공된답니다. 주요 관광 명소로는 둘레길과 전망대, 출렁다리가 있어요. 계절별 체험 프로그램으로는 바다낚시와 조개잡이가 있습니다. 여행 꿀팁은 2박을 추천하며 간식과 물, 신분증도 잊지 말고 챙기세요! 이수도에서 자연 속 힐링의 시간을 가져보세요!",youtube,20250509,https://www.youtube.com/watch?v=KqmQcY41r7Y,2,0.35358041524887085
[최북단 철원 여행] 강원도 최북단을 여행하면 생기는 일? 뭐가 있을까,"이번 주는 강원도 철원으로 여행을 다녀왔습니다. 분단의 비극이 남아있는 곳, 하지만 아직 자연 그대로가 보존되어있는 곳. 때마침 KT크루 미션 4주차를 진행하기 위해 강원도 철원의 곳곳을 둘러보았ㅅ브니다. 과연 하루 안에 다양한 곳을 둘러볼 수 있을까요? 길진 않았지만, 그래서 더 기억에 남는 하루였습니다. 코스 요약 철원 노동당사 철원 역사문화공원 소이산 모노레일 소이산 전망대 고석정 뱃놀이 삼부연폭포 철원막국수 직탕폭포 이 영상은 철원 대중교통 여행, 혼자 걷는 여행, 감성 브이로그를 좋아하시는 분들께 추천드려요. 촬영 Insta360 Acepro2 편집 Premiere pro 2024 문의 더 많은 국내 여행 재생목록 구독링크 구독과 좋아요 는 영상 제작에 큰 힘이 됩니다. 시청해주셔서 감사합니다. 철원여행 철원가볼만한곳 강원도여행 국내여행 고석정 역사문화공원 노동당사 소이산모노레일 소이산전망대 고석정꽃밭 삼부연폭포 직탕폭포 챕터 00 00 오프닝 00 40 인사 01 05 점심식사 01 42 철원 노동당사 02 13 철원 역사문화공원 03 18 소이산 모노레일 소이산 전망대 06 47 카셰어링 쏘카 07 29 고석정 뱃놀이 08 54 고석정 꽃밭 5월 23일 현재 미개장 09 55 삼부연폭포 11 15 60년 전통 철원막국수 12 42 직탕폭포 13 27 마무리",youtube,20250524,https://www.youtube.com/watch?v=Fg2Odmon7QY,2,0.349261611700058
진짜 완벽하다고 말할 수 있는 신상 에어텐트입니다! 위켄트립 모델 D 에어텐트,캠핑 에어텐트 위켄트립 스마트스토어 자사몰 위켄트립 이벤트 제품 위켄트립 메모리폼 베개 2명 참여 기간 5월22일 6월 24일 화 구독자 이벤트 참석 방법 1.최작가TV 채널 구독 좋아요 2.위켄트립 모델D 영상 시청 후 좋아요 누르기 3.댓글로 다양한 댓글을 작성해주세요 4.공지된 날짜에 라이브에 들어와 주세요 6월 25일 수요일 저녁 8시 5.라이브에 들어오신 분들에게만 당첨의 기회를 드립니다. 6. 라이브에 들어오셨더라도 추첨 당시에 안 계시면 기회는 다음분께 넘어갑니다. 각종문의 email 채널에 가입하여 혜택을 누려보세요.,youtube,20250526,https://www.youtube.com/watch?v=5BV9yurLsrs,0,0.39234215021133423
멀어져가는 짚라인,"짚라인 남이섬 스카이라인 이날 남이섬 당일치기 일기 글 데이트, 여행 231029 남이섬 여행",youtube,20231108,https://www.youtube.com/watch?v=zEqHwBzwKXE,0,0.38499611616134644
해외 여행용 멀티탭 어댑터,여행갈떈 해외 여행요 멀티 어댑터로 150개국을 한번에 여행용멀티어댑터 멀티어댑터 돼지코 여행용멀티어댑터 해외 여행용 멀티 어댑터 여행용,youtube,20250412,https://www.youtube.com/watch?v=aYC7vWqR_fI,0,0.36851172149181366
